id,count_of_events,mean_down_time,mean_up_time,mean_action_time,median_down_time,median_up_time,median_action_time,count_word_count,mean_word_count,median_word_count,idle_word_count,count_cursor_position,mean_cursor_position,median_cursor_position,idle_cursor_position,common_activity,common_up_event,common_down_event,count_input,count_remove,count_nonproduction,count_replace,count_paste,input_back_ratio,cursor_word_ratio,count_pun,count_down_q,count_down_Space,count_down_Backspace,count_down_Shift,count_down_ArrowRight,count_down_Leftclick,count_down_ArrowLeft,count_down_.,"count_down_,",count_down_ArrowDown,count_up_q,count_up_Space,count_up_Backspace,count_up_Shift,count_up_ArrowRight,count_up_Leftclick,count_up_ArrowLeft,count_up_.,"count_up_,",count_up_ArrowDown,score
01d602a7,3573,1095681.6719843268,1095827.080604534,145.40862020710887,1109242.0,1109445.0,151.0,487,231.71956339210746,232.0,289,2784,1350.657990484187,1368.0,0,0,104,105,3142,358,73,0,0,8.776536312849162,5.716632443531828,73,2517,546,362,57,0,12,0,22,25,0,2517,546,362,57,0,12,0,22,25,0,4.5
0249a095,5394,945277.3292547275,945369.3650352244,92.03578049684835,818901.5,818931.0,99.0,500,322.5791620318873,359.0,500,2774,1600.8913607712273,1749.0,1896,0,104,105,3178,389,1826,1,0,8.169665809768638,5.548,51,2528,592,389,135,1341,12,304,16,22,20,2527,592,389,135,1341,12,304,16,22,20,5.0
0262bf61,4442,819029.4894191806,819108.2420081045,78.75258892390815,798952.5,799024.0,76.0,447,227.5760918505178,226.0,174,2581,1277.011256190905,1273.5,978,0,104,105,3284,659,499,0,0,4.983308042488619,5.774049217002237,75,2665,535,658,454,0,44,0,22,28,0,2665,535,658,454,0,44,0,22,28,0,4.5
026be946,4338,753457.9767173813,753548.7411249423,90.76440756108806,703426.5,703531.5,76.0,712,373.7136929460581,382.0,697,3864,1875.8999538958046,1901.0,782,0,104,105,4005,137,195,1,0,29.233576642335766,5.426966292134831,76,3189,738,137,73,13,37,12,30,13,33,3189,738,137,73,13,37,12,30,13,33,5.0
0294b4f5,1887,984806.4297827239,984866.7466878643,60.31690514043455,1016215.0,1016267.0,60.0,205,111.19607843137256,112.0,37,1388,758.2681505034446,806.0,0,0,104,105,1607,219,61,0,0,7.337899543378995,6.770731707317073,28,1337,240,219,20,0,19,0,19,8,0,1337,240,219,20,0,19,0,19,8,0,2.5
02a41d1a,2628,896357.4908675799,896513.3786149162,155.8877473363775,968283.0,968389.0,150.0,269,141.6990106544901,144.0,234,1596,852.447108066971,875.0,1579,0,104,105,2090,414,121,3,0,5.048309178743962,5.933085501858736,46,1678,365,305,78,0,42,0,17,20,0,1678,365,305,78,0,42,0,17,20,0,3.0
02cf6a52,2050,566297.6395121951,566427.6185365854,129.9790243902439,496115.0,496248.0,127.0,282,142.45658536585367,143.0,73,1531,752.0180487804878,712.5,1040,0,104,105,1822,183,43,2,0,9.956284153005464,5.429078014184397,41,1459,317,170,30,0,13,0,14,15,0,1459,317,170,30,0,13,0,14,15,0,3.5
02d3c9fc,3626,555949.0474351903,556056.9376723663,107.89023717595146,531441.0,531596.5,103.0,284,145.96635410921124,162.0,24,1804,816.8312189740761,810.5,168,0,104,105,2427,498,692,8,1,4.873493975903615,6.352112676056338,52,1982,396,498,539,0,146,0,24,19,0,1981,396,498,539,0,146,0,24,19,0,4.0
02e86b6a,5437,926703.426889829,926786.7152841641,83.28839433511128,1000371.0,1000457.0,81.0,490,224.32554717675188,197.0,54,2934,1123.574213720802,864.0,74,0,104,105,3973,869,591,3,1,4.571921749136939,5.987755102040817,99,3238,632,868,172,179,62,151,34,43,10,3238,632,868,172,179,62,151,34,43,10,4.0
031c0c58,2713,529769.0622926649,529897.6369332842,128.57464061924068,466218.0,466218.0,126.0,337,188.72687062292664,192.0,330,1900,852.7891632878732,733.0,752,0,104,105,2307,307,94,5,0,7.514657980456026,5.637982195845697,52,1859,398,297,39,0,51,0,19,23,3,1859,398,297,39,0,51,0,19,23,3,4.0
034d61db,3565,626599.2294530154,626700.7175315568,101.48807854137448,607879.0,607983.0,94.0,562,286.7023842917251,291.0,562,3447,1719.3834502103787,1719.0,988,0,104,105,3478,31,56,0,0,112.19354838709677,6.133451957295374,57,2843,567,31,33,0,23,0,24,26,0,2843,567,31,33,0,23,0,24,26,0,4.5
035f09fc,3337,760654.1222655079,760769.6020377585,115.47977225052442,759095.0,759219.0,113.0,407,214.01827989211867,219.0,333,2174,1028.2774947557687,920.0,119,0,104,105,2747,285,297,8,0,9.63859649122807,5.341523341523342,62,2218,466,285,99,109,26,50,29,22,11,2216,466,285,99,109,26,50,29,22,11,3.5
036cfd42,7186,807381.655580295,807467.7176454216,86.06206512663512,721515.5,721635.0,85.0,641,313.7126356804898,330.0,619,3014,1389.6013080990815,1138.5,657,0,104,105,5250,1123,812,1,0,4.674977738201247,4.702028081123245,109,4158,968,1123,473,181,15,133,52,48,7,4158,968,1123,473,181,15,133,52,48,7,4.5
0395b217,3915,595084.3923371647,595171.172669221,86.78033205619413,584877.0,584944.0,85.0,471,237.1264367816092,236.0,86,2694,1337.1466155810983,1303.0,491,0,104,105,3230,511,173,1,0,6.3209393346379645,5.719745222929936,56,2594,574,511,158,0,13,0,22,22,0,2594,574,511,158,0,13,0,22,22,0,5.5
03971ddf,5941,1082944.8276384447,1083017.6623464064,72.83470796162263,1164454.0,1164548.0,63.0,327,228.80154856084835,260.0,292,1958,850.0462885036189,837.0,0,46,104,105,2121,164,3655,0,1,12.932926829268293,5.98776758409786,41,1718,355,159,139,724,5,543,21,9,1045,1718,355,159,139,724,5,543,21,9,1045,4.5
040c429b,5763,799211.9486378622,799313.3517265313,101.40308866909595,739074.0,739268.0,96.0,530,251.9364914107236,264.0,23,2903,1284.0239458615304,1417.0,1156,0,104,105,4334,1289,140,0,0,3.3622963537626065,5.477358490566037,100,3387,838,1289,108,0,28,0,39,21,0,3387,838,1289,108,0,28,0,39,21,0,5.0
0417d421,2317,399877.46741476044,399989.6361674579,112.1687526974536,412313.0,412414.0,111.0,271,131.46396201985326,130.0,98,1434,620.0025895554596,632.0,554,0,104,105,1905,359,53,0,0,5.306406685236769,5.291512915129151,44,1509,343,359,38,0,14,0,18,19,0,1509,343,359,38,0,14,0,18,19,0,3.0
0432f117,3222,711429.5782122905,711541.5533829919,111.97517070142769,583107.5,583219.0,105.5,396,199.26381129733085,206.5,332,2018,824.9695841092489,801.0,975,0,104,105,2773,290,155,3,1,9.562068965517241,5.095959595959596,50,2285,437,272,34,40,45,30,23,20,1,2285,437,272,34,40,45,30,23,20,1,4.0
0445b534,1697,1070293.1078373601,1070355.335297584,62.227460223924574,1314228.0,1314296.0,68.0,214,99.61579257513259,93.0,7,1320,629.4166175604007,601.0,588,0,104,105,1421,61,214,1,0,23.295081967213115,6.168224299065421,35,1148,232,50,35,3,14,47,15,18,0,1148,232,50,35,3,14,47,15,18,0,3.5
044b274d,5974,767756.9363910278,767834.3680950786,77.43170405088718,744122.0,744156.0,74.0,531,265.42082356879814,274.0,62,3220,1435.0836960160696,1179.0,629,0,104,105,4653,1057,248,15,1,4.402081362346263,6.064030131826742,106,3795,751,1056,60,20,134,7,31,51,21,3793,751,1056,60,20,134,7,31,51,21,6.0
044c5c54,1310,559464.2022900763,559529.2648854962,65.06259541984733,461592.5,461643.0,60.0,213,103.81603053435114,99.0,98,1144,558.8526717557252,548.0,62,0,104,105,1222,75,13,0,0,16.293333333333333,5.370892018779343,11,979,228,75,1,1,11,0,5,5,0,979,228,75,1,1,11,0,5,5,0,1.0
048fd254,2229,525939.4975325258,526025.199192463,85.70165993719156,491234.0,491305.0,84.0,296,157.08254822790488,162.0,296,1700,870.4279946164199,906.0,194,0,104,105,1844,149,236,0,0,12.375838926174497,5.743243243243243,44,1459,330,149,68,111,33,0,21,16,1,1459,330,149,68,111,33,0,21,16,1,4.0
04b88b3e,3616,680512.9756637168,680621.9231194691,108.94745575221239,559751.5,559820.0,109.0,514,253.55475663716814,248.5,81,2815,1152.5204646017698,1100.5,1025,0,104,105,3203,292,118,3,0,10.969178082191782,5.476653696498055,95,2543,564,292,78,0,38,1,38,40,1,2543,564,292,78,0,38,1,38,40,1,4.0
04c5f885,1464,325145.4856557377,325273.87841530057,128.39275956284152,270891.0,271020.5,130.0,205,103.3346994535519,103.0,204,1271,628.0799180327868,635.5,796,0,104,105,1357,86,21,0,0,15.779069767441861,6.2,16,1086,253,86,18,0,3,0,13,2,0,1086,253,86,18,0,3,0,13,2,0,3.0
04e37b6b,2067,986787.3497822932,986892.8848572811,105.53507498790518,1083152.0,1083233.0,106.0,282,144.1228834059023,141.0,260,1786,918.2544750846638,906.0,1631,0,104,105,1890,110,67,0,0,17.181818181818183,6.333333333333333,34,1546,302,110,35,22,3,6,16,12,0,1546,302,110,35,22,3,6,16,12,0,3.0
04e63aec,5906,741933.0506264815,742047.6039620725,114.55333559092449,728378.0,728500.0,126.0,426,209.74652895360651,206.0,381,2227,1044.1425668811378,1045.0,2165,0,104,105,3783,1344,777,2,0,2.814732142857143,5.227699530516432,65,3003,707,1360,337,174,51,41,33,17,79,3003,707,1360,337,174,51,41,33,17,79,4.0
04f83ccb,5807,841204.9311176167,841272.6753917686,67.74427415188566,803975.0,804070.0,70.0,670,326.88186671258825,342.0,0,3532,1687.635095574307,1771.0,2315,0,104,105,4313,781,713,0,0,5.522407170294494,5.271641791044776,73,3399,834,653,605,33,34,14,33,28,3,3399,834,653,605,33,34,14,33,28,3,5.0
052a7811,2587,636439.4797062235,636527.1561654425,87.67645921917278,667615.0,667691.0,82.0,303,148.39737147274835,141.0,231,1764,811.5017394665635,790.0,1369,0,104,105,2058,224,299,6,0,9.1875,5.821782178217822,33,1645,378,212,213,17,38,16,19,9,1,1645,378,212,213,17,38,16,19,9,1,3.5
052b25e1,5290,953310.6279773157,953367.9030245746,57.27504725897921,938915.0,938968.5,54.0,741,371.20756143667296,366.5,176,4353,1844.234215500945,1757.5,727,0,104,105,4847,346,87,9,1,14.008670520231213,5.874493927125506,86,3902,858,345,39,0,44,0,31,47,0,3902,858,345,39,0,44,0,31,47,0,5.0
052cf3a6,1610,851609.3074534162,851710.2267080746,100.9192546583851,891795.5,891893.0,106.0,212,108.08198757763975,113.0,153,1287,651.0267080745342,669.5,940,0,104,105,1369,82,159,0,0,16.695121951219512,6.070754716981132,24,1074,267,82,138,1,18,0,16,5,0,1074,267,82,138,1,18,0,16,5,0,2.5
053be4e5,4777,789556.7054636801,789653.8798409044,97.17437722419929,701947.0,702056.0,97.0,422,246.02281766799246,267.0,353,2568,1140.5040820598701,1153.0,1553,0,104,105,3621,1076,80,0,0,3.3652416356877324,6.085308056872038,78,2920,613,1076,37,12,31,0,28,44,0,2920,613,1076,37,12,31,0,28,44,0,3.0
05624ab0,1738,235748.4073647871,235873.55868814728,125.15132336018412,157149.5,157252.5,126.0,234,131.73532796317608,139.0,225,1310,736.1162255466053,759.5,1264,0,104,105,1487,224,27,0,0,6.638392857142857,5.598290598290598,34,1194,251,224,21,0,5,0,10,8,0,1194,251,224,21,0,5,0,10,8,0,3.5
056c41fc,1740,599067.4712643678,599183.1678160919,115.69655172413793,585132.0,585245.5,117.0,207,106.64080459770115,108.0,203,1193,548.9540229885057,541.5,0,0,104,105,1422,229,89,0,0,6.209606986899563,5.763285024154589,15,1120,284,246,0,9,34,8,14,0,0,1120,284,246,0,9,34,8,14,0,0,2.5
05b35fa0,2240,859711.5352678571,859812.2441964286,100.70892857142857,860369.0,860425.5,89.0,222,110.78705357142857,110.0,63,1259,575.5825892857143,587.0,355,0,104,105,1758,382,100,0,0,4.602094240837697,5.671171171171171,19,1436,289,378,35,0,57,0,15,4,0,1436,289,378,35,0,57,0,15,4,0,3.5
05f425a4,2828,828511.0159123056,828567.9207920792,56.904879773691654,789391.5,789454.0,55.0,400,205.52545968882603,210.0,376,2295,1182.470297029703,1201.5,700,0,104,105,2505,198,124,1,0,12.651515151515152,5.7375,69,2000,436,198,11,0,10,0,23,21,0,2000,436,198,11,0,10,0,23,21,0,3.5
05f8ca37,2960,989227.6243243243,989345.4209459459,117.79662162162163,990712.5,990824.5,121.0,285,145.6070945945946,152.0,217,1611,583.5871621621621,417.5,192,0,104,105,2259,644,56,1,0,3.5077639751552794,5.652631578947369,49,1808,393,644,24,0,25,0,20,17,1,1808,393,644,24,0,25,0,20,17,1,3.0
06336d82,6046,798927.1761495203,799003.4047304003,76.22858087992061,744522.5,744593.5,66.0,849,469.97585180284483,474.0,849,4764,2229.1336420774064,2356.5,4764,0,104,105,5050,286,710,0,0,17.657342657342657,5.6113074204946995,86,4072,884,286,67,6,15,0,35,27,352,4072,884,286,67,6,15,0,35,27,352,6.0
064a82e9,3809,751329.869519559,751413.1021265424,83.23260698346023,678535.0,678636.0,82.0,495,223.89131005513258,201.0,166,2627,1214.2977159359411,1112.0,1005,0,104,105,3236,474,98,0,1,6.827004219409282,5.307070707070707,96,2580,553,474,76,0,19,1,33,34,0,2580,553,474,76,0,19,1,33,34,0,4.5
0657fcde,3344,768310.5924043062,768413.687799043,103.09539473684211,714973.0,715088.5,102.0,491,242.8471889952153,241.0,392,2669,1286.6121411483255,1250.5,1108,0,104,105,3021,222,99,2,0,13.608108108108109,5.435845213849287,106,2378,530,222,78,0,19,0,22,39,0,2378,530,222,78,0,19,0,22,39,0,4.5
0666fb4e,4526,795279.478126381,795376.0733539549,96.59522757401679,785156.5,785253.0,84.0,670,325.1701281484755,316.0,284,3957,1933.3537339814407,1898.5,1539,0,104,105,4202,227,96,1,0,18.51101321585903,5.905970149253731,85,3349,761,223,74,0,22,0,34,32,0,3349,761,223,74,0,22,0,34,32,0,4.5
069d668b,4463,813416.7002016581,813517.7409814027,101.04077974456644,818741.0,818841.0,94.0,453,217.05534393905444,214.0,85,2668,1269.215326013892,1243.0,1526,0,104,105,3421,727,311,4,0,4.705639614855571,5.88962472406181,91,2703,623,727,232,29,29,18,27,50,0,2702,623,727,232,29,29,18,27,50,0,4.0
06cba5d7,2891,505255.84469041857,505350.7066758907,94.86198547215497,464813.0,464884.0,93.0,397,199.65548253199586,196.0,397,2161,902.5167762020062,956.0,2161,0,104,105,2427,266,198,0,0,9.12406015037594,5.4433249370277075,45,1922,454,266,41,1,31,0,21,19,0,1922,454,266,41,1,31,0,21,19,0,3.5
06e59db8,6162,758408.5623174295,758515.7247646868,107.16244725738396,735394.0,735466.5,106.0,1037,515.4604024667316,522.0,14,5398,2411.196040246673,2352.5,2980,0,104,105,5723,325,114,0,0,17.60923076923077,5.2054001928640306,102,4515,1095,325,88,14,12,0,51,25,0,4515,1095,325,88,14,12,0,51,25,0,6.0
06f33221,4675,885110.6183957219,885204.6594652407,94.04106951871658,834695.0,834832.0,89.0,336,166.29005347593582,139.0,116,2077,831.6611764705882,799.0,219,0,104,105,2787,511,1374,3,0,5.454011741682975,6.181547619047619,65,2265,451,456,72,953,21,285,34,19,30,2265,451,456,72,953,21,285,34,19,30,4.5
073b3535,4227,838175.7028625503,838289.6195883605,113.91672581026732,855303.0,855303.0,116.0,673,327.7234445233026,334.0,357,2715,1387.5308729595458,1370.0,1614,0,104,105,3776,219,232,0,0,17.24200913242009,4.034175334323923,67,2986,709,219,208,0,24,0,45,8,0,2986,709,219,208,0,24,0,45,8,0,4.0
075f92a5,4923,991457.0359536868,991522.8372943327,65.80134064594759,1032575.0,1032640.0,64.0,659,308.22222222222223,285.0,266,3505,1619.3093642088159,1483.0,1363,0,104,105,4198,587,137,1,0,7.1516183986371376,5.31866464339909,60,3348,783,587,123,0,14,0,36,1,0,3347,783,587,123,0,14,0,36,1,0,4.5
077ee03e,5263,971374.813034391,971465.8155044651,91.00247007410222,991148.0,991177.0,90.0,546,244.02052061561847,216.0,526,3117,1352.3306099182976,1208.0,419,0,104,105,4301,900,59,3,0,4.778888888888889,5.708791208791209,40,3487,764,902,32,1,20,1,28,4,0,3487,764,902,32,1,20,1,28,4,0,4.0
078a6196,4720,2155595.85720339,2155727.5235169493,131.66631355932202,2227114.5,2227221.5,117.0,551,261.04533898305084,261.5,7,3068,1312.3754237288135,1418.0,33,0,104,105,3871,528,298,22,1,7.331439393939394,5.568058076225046,68,3144,672,511,63,73,110,46,22,37,3,3144,672,511,63,73,110,46,22,37,3,4.5
07bb2245,2413,390488.61914629093,390609.450891007,120.83174471612101,363782.0,363927.0,123.0,275,136.54537919602154,130.0,275,1630,628.2515540820556,486.0,61,0,104,105,1924,298,188,0,0,6.456375838926174,5.927272727272728,14,1589,310,291,81,0,104,0,10,1,0,1589,310,291,81,0,104,0,10,1,0,3.5
07bb7765,4525,969558.6651933702,969639.893480663,81.22828729281768,1023174.0,1023205.0,78.0,277,136.38187845303867,128.0,78,1575,764.2901657458564,713.0,447,0,104,105,2973,999,550,3,0,2.975975975975976,5.6859205776173285,68,2351,542,1003,280,118,28,114,24,35,1,2350,542,1003,280,118,28,114,24,35,1,3.5
07c36ae1,4301,652758.266682167,652859.45942804,101.19274587305277,608233.0,608329.0,107.0,259,127.60265054638457,148.0,0,1487,715.6105556847244,816.0,0,0,104,105,2764,1257,280,0,0,2.1988862370723945,5.741312741312742,71,2213,473,1291,208,0,38,0,27,33,0,2213,473,1291,208,0,38,0,27,33,0,3.5
07e41499,2552,405348.2260971787,405514.8428683386,166.61677115987462,336334.5,336416.0,174.0,341,186.14615987460814,190.0,323,1865,896.9373040752351,921.5,1480,0,104,105,2150,285,117,0,0,7.543859649122807,5.469208211143695,39,1710,397,285,43,31,42,1,18,10,0,1710,397,285,43,31,42,1,18,10,0,3.5
07f3409c,4382,685552.3687813784,685640.971702419,88.60292104062071,672221.0,672315.0,88.0,554,290.55066179826565,294.0,472,3215,1655.6542674577818,1683.0,2738,0,104,105,3675,428,277,2,0,8.586448598130842,5.803249097472924,92,2921,624,428,225,0,51,0,38,37,0,2920,624,428,225,0,51,0,38,37,0,4.5
081d84f4,2783,914563.707150557,914681.2791951132,117.57204455623427,824576.0,824671.0,111.0,365,186.03233920229968,188.0,233,2226,1119.197628458498,1122.0,603,0,104,105,2504,201,74,4,0,12.457711442786069,6.098630136986301,62,2015,414,191,35,0,38,0,25,35,0,2015,414,191,35,0,38,0,25,35,0,4.0
08276ea7,1802,1863366.0027746947,1863476.896781354,110.89400665926748,1814094.5,1814240.5,112.0,275,138.36403995560488,138.0,97,1540,537.8068812430632,395.0,558,0,104,105,1606,59,136,1,0,27.220338983050848,5.6,35,1278,288,59,117,0,16,1,15,9,1,1278,288,59,117,0,16,1,15,9,1,3.0
08288a1f,3000,879045.733,879130.783,85.05,937085.5,937175.0,78.0,442,230.449,222.0,442,2427,1230.0826666666667,1206.5,940,0,104,105,2667,242,90,0,1,11.020661157024794,5.490950226244344,34,2144,487,242,73,0,15,0,27,4,0,2144,487,242,73,0,15,0,27,4,0,4.0
